country name,postcode,
UK,PO5,"""PO5"","
UK,MK1,"""MK1"","
UK,MK10,"""MK10"","
UK,MK11,"""MK11"","
UK,MK12,"""MK12"","
UK,MK13,"""MK13"","
UK,MK14,"""MK14"","
UK,MK15,"""MK15"","
UK,MK16,"""MK16"","
UK,MK17,"""MK17"","
UK,MK18,"""MK18"","
UK,MK19,"""MK19"","
UK,MK2,"""MK2"","
UK,MK3,"""MK3"","
UK,MK4,"""MK4"","
UK,MK40,"""MK40"","
UK,MK41,"""MK41"","
UK,MK42,"""MK42"","
UK,MK43,"""MK43"","
UK,MK44,"""MK44"","
UK,MK45,"""MK45"","
UK,MK46,"""MK46"","
UK,MK5,"""MK5"","
UK,MK6,"""MK6"","
UK,MK7,"""MK7"","
UK,MK77,"""MK77"","
UK,MK8,"""MK8"","
UK,MK9,"""MK9"","
UK,SM1,"""SM1"","
UK,SM2,"""SM2"","
UK,SM3,"""SM3"","
UK,SM4,"""SM4"","
UK,SM5,"""SM5"","
UK,SM6,"""SM6"","
UK,SM7,"""SM7"","
UK,TW1,"""TW1"","
UK,TW10,"""TW10"","
UK,TW11,"""TW11"","
UK,TW12,"""TW12"","
UK,TW13,"""TW13"","
UK,TW14,"""TW14"","
UK,TW15,"""TW15"","
UK,TW16,"""TW16"","
UK,TW17,"""TW17"","
UK,TW18,"""TW18"","
UK,TW19,"""TW19"","
UK,TW2,"""TW2"","
UK,TW20,"""TW20"","
UK,TW3,"""TW3"","
UK,TW4,"""TW4"","
UK,TW5,"""TW5"","
UK,TW6,"""TW6"","
UK,TW7,"""TW7"","
UK,TW8,"""TW8"","
UK,TW9,"""TW9"","
UK,UB1,"""UB1"","
UK,UB10,"""UB10"","
UK,UB11,"""UB11"","
UK,UB18,"""UB18"","
UK,UB2,"""UB2"","
UK,UB3,"""UB3"","
UK,UB4,"""UB4"","
UK,UB5,"""UB5"","
UK,UB6,"""UB6"","
UK,UB7,"""UB7"","
UK,UB8,"""UB8"","
UK,UB9,"""UB9"","
UK,WD1,"""WD1"","
UK,WD17,"""WD17"","
UK,WD18,"""WD18"","
UK,WD19,"""WD19"","
UK,WD23,"""WD23"","
UK,WD24,"""WD24"","
UK,WD25,"""WD25"","
UK,WD3,"""WD3"","
UK,WD4,"""WD4"","
UK,WD5,"""WD5"","
UK,WD6,"""WD6"","
UK,WD7,"""WD7"","
UK,WD99,"""WD99"","
UK,DH1,"""DH1"","
UK,DH2,"""DH2"","
UK,DH3,"""DH3"","
UK,DH4,"""DH4"","
UK,DH5,"""DH5"","
UK,DH6,"""DH6"","
UK,DH7,"""DH7"","
UK,DH8,"""DH8"","
UK,DH9,"""DH9"","
UK,DH97,"""DH97"","
UK,DH98,"""DH98"","
UK,DH99,"""DH99"","
UK,DL1,"""DL1"","
UK,DL10,"""DL10"","
UK,DL11,"""DL11"","
UK,DL12,"""DL12"","
UK,DL13,"""DL13"","
UK,DL14,"""DL14"","
UK,DL15,"""DL15"","
UK,DL16,"""DL16"","
UK,DL17,"""DL17"","
UK,DL2,"""DL2"","
UK,DL3,"""DL3"","
UK,DL4,"""DL4"","
UK,DL5,"""DL5"","
UK,DL6,"""DL6"","
UK,DL7,"""DL7"","
UK,DL8,"""DL8"","
UK,DL9,"""DL9"","
UK,HG1,"""HG1"","
UK,HG2,"""HG2"","
UK,HG3,"""HG3"","
UK,HG4,"""HG4"","
UK,HG5,"""HG5"","
UK,HU1,"""HU1"","
UK,HU10,"""HU10"","
UK,HU11,"""HU11"","
UK,HU12,"""HU12"","
